,MEAN DEP SCORE,LA CODE,STD DEP SCORE,LAD,LAD CODE,WARD CODE,All categories: Age,Children,Adults,Pensioners,All categories: Residence type,Lives in a household,Lives in a communal establishment,Communal establishments with persons sleeping rough identified,All categories: Ethnic group (detailed),White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Polish,Asian/Asian British: Indian or British Indian,Asian/Asian British: Pakistani/British Pakistani,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Other ethnic group: Any other ethnic group,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,No religion: Total,Religion not stated,All usual residents ,Area ,Density
36,29.977345173611113,00BP,18.24144398801249,E08000004,00BP,00BPFX,224897,56557.0,137406.0,30934.0,224897,223170,1727,0,224897.0,169955.0,1484.0,850.0,1555.0,22686.0,1640.0,839.0,25888.0,224897.0,134167.0,371.0,1233.0,108.0,39879.0,70.0,406.0,36169.0,12494.0,224897,14236,15.8
37,33.57873465185185,00BQ,19.200340205247276,E08000005,00BQ,00BQFX,211699,50772.0,132000.0,28927.0,211699,209552,2147,3,211699.0,166481.0,2131.0,1859.0,1105.0,22265.0,2131.0,285.0,15442.0,211699.0,128186.0,403.0,642.0,216.0,29426.0,71.0,430.0,40014.0,12311.0,211699,15808,13.4
38,35.0043816875,00BR,19.199502309548144,E08000006,00BR,00BRFX,233933,50696.0,151976.0,31261.0,233933,228346,5587,0,233933.0,197445.0,2882.0,3287.0,2553.0,1843.0,5354.0,666.0,19903.0,233933.0,150111.0,1040.0,1504.0,7687.0,6030.0,324.0,691.0,52105.0,14441.0,233933,9719,24.1
39,18.66580055789474,00BS,15.031496803109162,E08000007,00BS,00BSGA,283275,60622.0,174567.0,48086.0,283275,280915,2360,0,283275.0,252044.0,3938.0,942.0,2786.0,6673.0,976.0,745.0,15171.0,283275.0,179055.0,853.0,1666.0,1340.0,9431.0,330.0,964.0,71126.0,18510.0,283275,12606,22.5
40,29.56015871631205,00BT,15.326969084731385,E08000008,00BT,00BTFW,219324,48495.0,138744.0,32085.0,219324,217736,1588,1,219324.0,194115.0,1613.0,1579.0,3668.0,4910.0,1188.0,371.0,11880.0,219324.0,140322.0,511.0,3223.0,89.0,9705.0,102.0,651.0,51674.0,13047.0,219324,10317,21.3
41,17.017572811594206,00BU,13.424400076750775,E08000009,00BU,00BUFY,226578,51731.0,140560.0,34287.0,226578,225277,1301,0,226578.0,182200.0,5098.0,1643.0,6306.0,7027.0,1807.0,3802.0,18695.0,226578.0,143639.0,768.0,2271.0,2413.0,12994.0,1652.0,566.0,47968.0,14307.0,226578,10604,21.4
42,26.151386199999994,00BW,16.34377085388495,E08000010,00BW,00BWGB,317849,68088.0,201613.0,48148.0,317849,315794,2055,1,317849.0,303519.0,1459.0,1181.0,1019.0,676.0,1310.0,216.0,8469.0,317849.0,247223.0,703.0,682.0,71.0,2162.0,62.0,689.0,48640.0,17617.0,317849,18819,16.9
43,42.32542343434342,00BX,21.6071676114695,E08000011,00BX,00BXGR,145893,32788.0,91375.0,21730.0,145893,144990,903,0,145893.0,140135.0,747.0,227.0,467.0,81.0,297.0,127.0,3812.0,145893.0,117991.0,165.0,266.0,58.0,435.0,37.0,167.0,18439.0,8335.0,145893,8647,16.9
44,44.181417955326445,00BY,20.782305582209446,E08000012,00BY,00BYHJ,466415,88911.0,315780.0,61724.0,466415,450085,16330,2,466415.0,395485.0,6729.0,3038.0,4915.0,1999.0,8490.0,1467.0,44292.0,466415.0,331217.0,2017.0,2437.0,2157.0,15209.0,531.0,1122.0,82701.0,29024.0,466415,11184,41.7
45,28.84740302542372,00BZ,17.876653964200045,E08000013,00BZ,00BZFU,175308,36402.0,109463.0,29443.0,175308,173958,1350,1,175308.0,169346.0,887.0,391.0,504.0,133.0,152.0,60.0,3835.0,175308.0,138172.0,317.0,416.0,48.0,605.0,46.0,403.0,25653.0,9648.0,175308,13638,12.9
